,Information Technology,Financials,Health Care,Consumer Discretionary,Industrials,Energy,Consumer Staples,Materials,Utilities,Telecommunication Services
2023-02-21 00:00:00,2379.85,592.12,1515.77,1130.38,850.77,642.23,767.01,503.68,340.31,176.14
2023-02-22 00:00:00,2376.46,590.93,1510.83,1136.21,848.54,637.29,764.96,507.08,338.88,176.05
2023-02-23 00:00:00,2415.19,591.76,1514.86,1135.21,851.92,645.39,763.31,508.01,337.24,174.89
2023-02-24 00:00:00,2372.37,592.38,1495.64,1117.47,846.99,645.32,758.81,511.33,337.17,172.39
2023-02-27 00:00:00,2384.73,592.03,1491.02,1130.63,854.04,647.35,757.41,512.51,334.59,173.11
2023-02-28 00:00:00,2380.26,593.02,1480.18,1130.01,851.88,638.01,751.73,514.81,328.82,173.53
2023-03-01 00:00:00,2360.87,590.77,1477.49,1115.49,855.08,650.37,746.03,518.32,323.16,172.47
2023-03-02 00:00:00,2390.7,587.65,1486.04,1111.95,865.34,655.85,755.09,524.56,329.05,174.36
2023-03-03 00:00:00,2441.83,597.05,1503.32,1135.5,874.52,664.3,755.69,531.9,334.84,178.02
2023-03-06 00:00:00,2454.86,597.36,1502.39,1127.45,872.77,664.95,758.17,523.14,336.28,178.83
2023-03-07 00:00:00,2423.82,582.2,1478.1,1112.05,861.7,653.32,750.78,512.73,330.71,176.78
2023-03-08 00:00:00,2444.24,579.84,1469.81,1109.19,863.67,646.63,751.67,515.12,333.28,177.12
2023-03-09 00:00:00,2408.92,556.04,1454.63,1083.03,851,637.81,744.56,502.05,330.48,173.18
2023-03-10 00:00:00,2366.99,546.28,1443.91,1072.43,835.48,628.78,741.17,491.26,325.2,170.71
2023-03-13 00:00:00,2380,525.63,1457.14,1074.9,830.38,616.47,744.68,485.89,330.22,171.13
2023-03-14 00:00:00,2434.58,535.56,1470.01,1093.24,839.14,621.92,750.65,491.94,334.46,175.84
2023-03-15 00:00:00,2435.24,520.33,1467.49,1090.94,818.08,588.2,755.75,475.82,338.93,178.48
2023-03-16 00:00:00,2503.8,530.45,1481.54,1111.48,828.48,593.72,755.19,481.41,341.2,183.43
2023-03-17 00:00:00,2500.96,513.02,1462.81,1097.66,815,584.64,750.63,474,337.87,182.56
2023-03-20 00:00:00,2506.74,519.15,1481.55,1101.95,826.06,596.98,760.78,483.52,340.62,183.44
2023-03-21 00:00:00,2527.62,532.33,1490.34,1131.84,835.38,617.6,759.84,489.45,333.62,187.93
2023-03-22 00:00:00,2504.44,519.7,1468.05,1106.94,819.46,604.56,752.38,480.84,327.02,184.88
2023-03-23 00:00:00,2545.76,516.28,1465.45,1106.39,817.61,596.32,749.13,480.17,323.73,188.27
2023-03-24 00:00:00,2552.04,515.97,1484.65,1102.47,820.48,598.03,761.34,484.05,333.82,188.77
2023-03-27 00:00:00,2530.32,523.2,1490.71,1104.44,827.24,610.6,765.48,487.64,334.24,186.74
2023-03-28 00:00:00,2518.77,522.9,1482.26,1103.2,831.74,619.44,767.18,490.07,335.22,184.84
2023-03-29 00:00:00,2571.52,530.74,1485.81,1124.22,843.55,628.71,771.29,496.86,340.04,187.03
2023-03-30 00:00:00,2600.86,529.19,1493.96,1134.3,845.47,630.9,773.93,500.05,341.42,187.63
